Date,Open,Close,Returns,Range,MA_12,MA_21,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2019-04-30,266.62861624385556,267.110107421875,0.0005103907672883157,1.1984964262442759,264.8578338623047,263.24432663690476,1,1.0,0,1.0,0.0005102605622224076,0.11642136371996385,0.12346916155793464,0.004182581063102159,0.07834501540917518,0.08149572699999319
2019-05-01,267.7461474983972,265.10247802734375,-0.007516111666116765,1.8617226448758402,264.9827626546224,263.5030299595424,1,1.0,0,0.0,-0.007544499969297242,0.10887686375066662,0.11502504188622664,-0.0,0.07834501540917518,0.08149572699999319
2019-05-02,264.9842367170556,264.5299987792969,-0.0021594639639235247,1.8889743547529747,265.0743637084961,263.7284153529576,1,1.0,0,0.0,-0.0021617989684069223,0.1067150647822597,0.11261718548940092,0.0,0.07834501540917518,0.08149572699999319
2019-05-03,266.0199838365313,267.1192321777344,0.009788052056045826,1.7617751647947557,265.3673553466797,264.05763171968005,1,1.0,0,0.0,0.009740459382231935,0.11645552416449163,0.12350754041942236,-0.0,0.07834501540917518,0.08149572699999319
2019-05-06,262.77672255163714,266.0199890136719,-0.0041151779117539755,3.0063830899561594,265.6224873860677,264.30162121000745,1,1.0,0,0.0,-0.004123668558062481,0.11233185560642915,0.11888410700539942,0.0,0.07834501540917518,0.08149572699999319
2019-05-07,263.5942711769304,261.57745361328125,-0.01670000595392218,3.5423794024095514,265.4642613728841,264.27393304734005,1,1.0,0,0.0,-0.0168410232510679,0.09549083235536125,0.10019873575666027,-0.0,0.07834501540917518,0.08149572699999319
2019-05-08,261.214111328125,261.214111328125,-0.0013890428251259745,1.3256964146670498,265.25682576497394,264.2194257463728,1,1.0,0,0.0,-0.0013900084394009606,0.0941008239159603,0.0986705125965448,-0.0,0.07834501540917518,0.08149572699999319
2019-05-09,259.12462253075154,260.4237365722656,-0.003025773576476265,2.661157214395473,264.7859369913737,264.1913059779576,1,1.0,0,0.0,-0.003030360484310801,0.0910704634316495,0.09534618439027653,0.0,0.07834501540917518,0.08149572699999319
2019-05-10,259.47890319793606,261.73193359375,0.005023340186662839,5.032293773718038,264.4732716878255,264.1830894833519,1,1.0,0,0.0,0.005010765307695803,0.0960812287393453,0.10084848089663212,-0.0,0.07834501540917518,0.08149572699999319
2019-05-13,256.57183502926347,255.1545867919922,-0.025130089062677774,2.234172731677944,263.62612279256183,263.8651202973865,1,0.0,0,0.0,-0.025451241565823787,0.07062998717352151,0.07318406052718607,-0.0,0.07834501540917518,0.08149572699999319
